"model","term","Estimate","Std..Error","z.value","Pr...z.."
"Model 1: Full main-effects","(Intercept)",-40.8229335723359,6.63291289670493,-6.15460118473977,7.52666573674738e-10
"Model 1: Full main-effects","zn",-0.0659459773859179,0.0346563489234621,-1.90285415037684,0.0570595790841768
"Model 1: Full main-effects","indus",-0.0646138485862037,0.0476223144355152,-1.35679773971709,0.174845485903024
"Model 1: Full main-effects","chas1",0.910765480966023,0.755545520996267,1.20544091078071,0.22803313613612
"Model 1: Full main-effects","nox",49.1222966482964,7.93170567615042,6.19315676273776,5.89710248725748e-10
"Model 1: Full main-effects","rm",-0.587488459681121,0.722847138795073,-0.812742318743098,0.416365812689249
"Model 1: Full main-effects","age",0.0341889780780904,0.0138140330401424,2.47494543981039,0.0133256531382442
"Model 1: Full main-effects","dis",0.738660342562674,0.230275222643195,3.20772827438411,0.00133787838354618
"Model 1: Full main-effects","rad",0.666365942046028,0.163151925554258,4.08432778088434,4.42045964523327e-05
"Model 1: Full main-effects","tax",-0.00617139357862234,0.00295472399438163,-2.08865315012745,0.0367389570213415
"Model 1: Full main-effects","ptratio",0.402565647322714,0.126627303653172,3.17913779815867,0.00147713850377018
"Model 1: Full main-effects","lstat",0.0458685436678017,0.0540488704337806,0.848649440768588,0.396076387280393
"Model 1: Full main-effects","medv",0.180824004152412,0.0682938325766928,2.64773548840373,0.00810329006933097
"Model 2: Stepwise main-effects","(Intercept)",-37.4159223309501,6.03501324930519,-6.19980781902306,5.65321480610069e-10
"Model 2: Stepwise main-effects","zn",-0.0686481745628728,0.0320187744706126,-2.14399756698619,0.0320330817320993
"Model 2: Stepwise main-effects","nox",42.807767600544,6.67869225359439,6.40960325391627,1.45898809535948e-10
"Model 2: Stepwise main-effects","age",0.0329504843054697,0.0109509462125435,3.00891664208224,0.00262181039706795
"Model 2: Stepwise main-effects","dis",0.654896113288368,0.214049789764144,3.05955036914533,0.00221669509396361
"Model 2: Stepwise main-effects","rad",0.725108921212143,0.149788205985801,4.84089462478026,1.29255902923706e-06
"Model 2: Stepwise main-effects","tax",-0.00775614899261055,0.00265283527470474,-2.92372054404087,0.0034587511023361
"Model 2: Stepwise main-effects","ptratio",0.323628140829508,0.111389779005525,2.9053665759895,0.00366823205754859
"Model 2: Stepwise main-effects","medv",0.11047194840804,0.0354452483481161,3.11669274603662,0.00182892078950347
"Model 3: Stepwise transformed","(Intercept)",38.7896286143382,19.5328159433736,1.9858697653626,0.047047786681128
"Model 3: Stepwise transformed","zn",-0.0418030793580784,0.0323753624976393,-1.29120034906564,0.19663421411416
"Model 3: Stepwise transformed","nox_sq",48.0996833513881,7.26116381612427,6.62423883683454,3.4904202496287e-11
"Model 3: Stepwise transformed","rm",-26.2694796146341,6.95872244195831,-3.77504345571245,0.000159979772288505
"Model 3: Stepwise transformed","rm_sq",2.01456029288155,0.546747930372426,3.68462353668043,0.00022904091760101
"Model 3: Stepwise transformed","age",0.0454385171222987,0.013429033453041,3.38360294366599,0.000715413820650673
"Model 3: Stepwise transformed","dis",4.21390944685224,0.850816829828793,4.95278102068126,7.31602894276366e-07
"Model 3: Stepwise transformed","dis_sq",-0.360030318724727,0.0862087961602879,-4.17625967140665,2.96341516975377e-05
"Model 3: Stepwise transformed","rad",0.710715414386356,0.160772586234597,4.42062562425469,9.84155512207215e-06
"Model 3: Stepwise transformed","ptratio",0.417004119981684,0.135895294999904,3.06856922443104,0.00215086490353034
"Model 3: Stepwise transformed","medv",0.486483956080769,0.182673957875669,2.66312703648693,0.00774181806536342
"Model 3: Stepwise transformed","medv_sq",-0.00616709694934827,0.00295125266137097,-2.08965400694748,0.0366488913412845
