"actual","predicted","count","model"
"0","0",220,"Model 1: Full main-effects"
"1","0",22,"Model 1: Full main-effects"
"0","1",17,"Model 1: Full main-effects"
"1","1",207,"Model 1: Full main-effects"
"0","0",218,"Model 2: Stepwise main-effects"
"1","0",22,"Model 2: Stepwise main-effects"
"0","1",19,"Model 2: Stepwise main-effects"
"1","1",207,"Model 2: Stepwise main-effects"
"0","0",220,"Model 3: Stepwise transformed"
"1","0",18,"Model 3: Stepwise transformed"
"0","1",17,"Model 3: Stepwise transformed"
"1","1",211,"Model 3: Stepwise transformed"
